010121	01.43.10
010129	01.43.10
010130	01.43.10
010190	01.43.10
010221	01.41.10
010221	01.42.11
010229	01.41.10
010229	01.42.11
010229	01.42.12
010231	01.42.11
010239	01.42.11
010290	01.42.11
010310	01.46.10
010391	01.46.10
010392	01.46.10
010410	01.45.11
010420	01.45.12
010511	01.47.11
010512	01.47.12
010513	01.47.14
010514	01.47.13
010515	01.47.14
010594	01.47.11
010599	01.47.12
010599	01.47.13
010599	01.47.14
010611	01.49.19
010612	01.49.19
010612	03.11.69
010612	03.21.49
010613	01.44.10
010614	01.49.11
010614	01.49.19
010619	01.49.19
010620	01.49.13
010631	01.49.12
010632	01.49.12
010633	01.49.12
010639	01.49.12
010641	01.49.19
010649	01.49.19
010690	01.49.19
010690	03.12.30
020110	10.11.11
020120	10.11.11
020130	10.11.11
020210	10.11.31
020220	10.11.31
020230	10.11.31
020311	10.11.12
020312	10.11.12
020319	10.11.12
020321	10.11.32
020322	10.11.32
020329	10.11.32
020410	10.11.13
020421	10.11.13
020422	10.11.13
020423	10.11.13
020430	10.11.33
020441	10.11.33
020442	10.11.33
020443	10.11.33
020450	10.11.14
020450	10.11.34
020500	10.11.15
020500	10.11.35
020610	10.11.20
020610	10.11.60
020621	10.11.39
020622	10.11.39
020622	10.11.60
020629	10.11.39
020629	10.11.60
020630	10.11.20
020630	10.11.60
020641	10.11.39
020641	10.11.60
020649	10.11.39
020680	10.11.20
020680	10.11.60
020690	10.11.39
020690	10.11.60
020711	10.12.10
020712	10.12.20
020713	10.12.10
020713	10.12.40
020714	10.12.20
020714	10.12.40
020724	10.12.10
020725	10.12.20
020726	10.12.10
020726	10.12.40
020727	10.12.20
020727	10.12.40
020741	10.12.10
020742	10.12.20
020743	10.12.40
020744	10.12.10
020744	10.12.40
020745	10.12.20
020745	10.12.40
020751	10.12.10
020752	10.12.20
020753	10.12.40
020754	10.12.10
020754	10.12.40
020755	10.12.20
020755	10.12.40
020760	10.12.10
020760	10.12.40
020810	10.11.39
020830	10.11.39
020840	10.11.39
020850	10.11.39
020860	10.11.39
020890	10.11.16
020890	10.11.36
020890	10.11.39
020910	10.11.50
020990	10.12.30
021011	10.13.11
021012	10.13.11
021019	10.13.11
021020	10.13.12
021091	10.13.13
021092	10.13.13
021093	10.13.13
021099	10.13.13
030111	03.12.11
030119	03.11.11
030119	03.21.11
030191	03.12.12
030191	03.22.10
030192	03.12.12
030193	03.12.12
030193	03.22.10
030194	03.11.12
030194	03.21.12
030195	03.11.12
030195	03.21.12
030199	03.11.12
030199	03.12.12
030199	03.21.12
030199	03.22.10
030199	03.22.40
030211	03.11.20
030211	03.12.20
030211	03.21.20
030211	03.22.20
030213	03.11.20
030213	03.12.20
030213	03.21.20
030213	03.22.20
030214	03.11.20
030214	03.12.20
030214	03.21.20
030214	03.22.20
030219	03.11.20
030219	03.21.20
030221	03.11.20
030221	03.21.20
030222	03.11.20
030222	03.21.20
030223	03.11.20
030223	03.21.20
030224	03.11.20
030224	03.21.20
030229	03.11.20
030229	03.21.20
030231	03.11.20
030231	03.21.20
030232	03.11.20
030232	03.21.20
030233	03.11.20
030233	03.21.20
030234	03.11.20
030234	03.21.20
030235	03.11.20
030235	03.21.20
030236	03.11.20
030236	03.21.20
030239	03.11.20
030239	03.21.20
030241	03.11.20
030241	03.21.20
030242	03.11.20
030242	03.21.20
030243	03.11.20
030243	03.21.20
030244	03.11.20
030244	03.21.20
030245	03.11.20
030245	03.21.20
030246	03.11.20
030246	03.21.20
030247	03.11.20
030247	03.21.20
030249	03.11.20
030249	03.21.20
030251	03.11.20
030251	03.21.20
030252	03.11.20
030252	03.21.20
030253	03.11.20
030253	03.21.20
030254	03.11.20
030254	03.21.20
030255	03.11.20
030255	03.21.20
030256	03.11.20
030256	03.21.20
030259	03.11.20
030259	03.21.20
030271	03.12.20
030271	03.22.20
030272	03.12.20
030272	03.22.20
030273	03.12.20
030273	03.22.20
030274	03.12.20
030274	03.22.20
030279	03.12.20
030279	03.22.20
030281	03.11.20
030281	03.21.20
030282	03.11.20
030282	03.21.20
030283	03.11.20
030283	03.21.20
030284	03.11.20
030284	03.21.20
030285	03.11.20
030285	03.21.20
030289	03.11.20
030289	03.21.20
030291	10.20.12
030292	10.20.11
030299	03.12.20
030299	03.22.20
030299	10.20.12
030311	10.20.13
030312	10.20.13
030313	10.20.13
030314	10.20.13
030319	10.20.13
030323	10.20.13
030324	10.20.13
030325	10.20.13
030326	10.20.13
030329	10.20.13
030331	10.20.13
030332	10.20.13
030333	10.20.13
030334	10.20.13
030339	10.20.13
030341	10.20.13
030342	10.20.13
030343	10.20.13
030344	10.20.13
030345	10.20.13
030346	10.20.13
030349	10.20.13
030351	10.20.13
030353	10.20.13
030354	10.20.13
030355	10.20.13
030356	10.20.13
030357	10.20.13
030359	10.20.13
030363	10.20.13
030364	10.20.13
030365	10.20.13
030366	10.20.13
030367	10.20.13
030368	10.20.13
030369	10.20.13
030381	10.20.13
030382	10.20.13
030383	10.20.13
030384	10.20.13
030389	10.20.13
030391	10.20.16
030392	10.20.13
030399	10.20.16
030431	10.20.11
030432	10.20.11
030433	10.20.11
030439	10.20.11
030441	10.20.11
030442	10.20.11
030443	10.20.11
030444	10.20.11
030445	10.20.11
030446	10.20.11
030447	10.20.11
030448	10.20.11
030449	10.20.11
030451	10.20.11
030452	10.20.11
030453	10.20.11
030454	10.20.11
030455	10.20.11
030456	10.20.11
030457	10.20.11
030459	10.20.11
030461	10.20.14
030462	10.20.14
030463	10.20.14
030469	10.20.14
030471	10.20.14
030472	10.20.14
030473	10.20.14
030474	10.20.14
030475	10.20.14
030479	10.20.14
030481	10.20.14
030482	10.20.14
030483	10.20.14
030484	10.20.14
030485	10.20.14
030486	10.20.14
030487	10.20.14
030488	10.20.14
030489	10.20.14
030491	10.20.15
030492	10.20.15
030493	10.20.15
030494	10.20.15
030495	10.20.15
030496	10.20.15
030497	10.20.15
030499	10.20.15
030520	10.20.22
030531	10.20.21
030532	10.20.21
030539	10.20.21
030541	10.20.24
030542	10.20.24
030543	10.20.24
030544	10.20.24
030549	10.20.24
030551	10.20.23
030552	10.20.23
030553	10.20.23
030554	10.20.23
030559	10.20.23
030561	10.20.23
030562	10.20.23
030563	10.20.23
030564	10.20.23
030569	10.20.23
030571	10.20.22
030571	10.20.42
030572	10.20.22
030572	10.20.42
030579	10.20.22
030579	10.20.42
030611	10.20.31
030612	10.20.31
030614	10.20.31
030615	10.20.31
030616	10.20.31
030617	10.20.31
030619	10.20.31
030631	03.11.30
030631	03.21.30
030632	03.11.30
030632	03.21.30
030633	03.11.30
030633	03.21.30
030634	03.11.30
030634	03.21.30
030635	03.11.30
030635	03.21.30
030636	03.11.30
030636	03.21.30
030639	03.11.30
030639	03.21.30
030691	03.11.30
030691	03.21.30
030691	10.20.34
030692	03.11.30
030692	03.21.30
030692	10.20.34
030693	03.11.30
030693	03.21.30
030693	10.20.34
030694	03.11.30
030694	03.21.30
030694	10.20.34
030695	03.11.30
030695	03.21.30
030695	10.20.34
030699	03.11.30
030699	03.21.30
030699	03.22.30
030699	10.20.34
030711	03.11.41
030711	03.21.41
030712	10.20.32
030719	10.20.32
030719	10.20.34
030721	03.11.42
030721	03.21.44
030722	10.20.32
030729	10.20.32
030731	03.11.42
030731	03.21.44
030732	10.20.32
030739	10.20.32
030742	03.11.42
030742	03.21.44
030743	10.20.32
030749	10.20.33
030749	10.20.34
030751	03.11.42
030751	03.21.44
030752	10.20.32
030759	10.20.34
030760	01.49.23
030760	10.20.34
030771	03.11.42
030771	03.21.44
030772	10.20.32
030772	10.20.33
030779	10.20.34
030781	03.11.42
030781	03.21.44
030782	03.11.42
030782	03.21.44
030783	10.20.32
030784	10.20.32
030787	10.20.34
030788	10.20.34
030791	03.11.42
030791	03.21.44
030792	10.20.32
030799	10.20.34
030811	03.11.42
030811	03.21.44
030812	10.20.33
030819	10.20.33
030819	10.20.34
030821	03.11.42
030821	03.21.44
030822	10.20.33
030829	10.20.33
030829	10.20.34
030830	03.11.42
030830	03.21.44
030830	10.20.33
030830	10.20.34
030890	03.11.42
030890	03.21.44
030890	10.20.33
030890	10.20.34
030910	10.20.22
030990	10.20.33
030990	10.20.34
040110	10.51.11
040120	10.51.11
040140	10.51.12
040150	10.51.12
040210	10.51.21
040221	10.51.22
040229	10.51.22
040291	10.51.51
040299	10.51.51
040320	10.51.52
040390	10.51.52
040410	10.51.55
040490	10.51.56
040510	10.51.30
040520	10.51.30
040590	10.51.30
040610	10.51.40
040620	10.51.40
040630	10.51.40
040640	10.51.40
040690	10.51.40
040711	01.47.23
040719	01.47.23
040719	01.49.24
040721	01.47.21
040729	01.47.21
040729	01.47.22
040729	01.49.24
040790	10.89.12
040811	10.89.12
040819	10.89.12
040891	10.89.12
040899	10.89.12
040900	01.49.21
041010	01.49.19
041010	10.11.39
041090	01.49.24
050100	96.02.20
050210	10.11.60
050290	10.11.60
050400	10.11.60
050510	10.12.50
050590	10.12.50
050610	10.11.60
050690	10.11.60
050710	10.11.60
050790	10.11.60
050800	03.11.61
051000	21.10.60
051110	01.42.20
051191	03.21.50
051191	10.20.42
051199	01.42.11
051199	01.49.27
051199	01.49.28
051199	03.11.62
051199	03.21.50
051199	10.11.60
060110	01.30.10
060120	01.30.10
060210	01.30.10
060220	01.30.10
060230	01.30.10
060240	01.30.10
060290	01.30.10
060290	02.10.11
060290	02.10.30
060311	01.19.21
060312	01.19.21
060313	01.19.21
060314	01.19.21
060315	01.19.21
060319	01.19.21
060390	01.19.21
060420	01.29.20
060420	02.30.30
060490	02.30.30
070110	01.13.51
070190	01.13.51
070200	01.13.34
070310	01.13.43
070320	01.13.42
070390	01.13.44
070410	01.13.13
070420	01.13.12
070490	01.13.12
070511	01.13.14
070519	01.13.14
070521	01.13.15
070529	01.13.15
070610	01.13.41
070690	01.13.49
070700	01.13.32
070810	01.11.62
070820	01.11.61
070890	01.11.69
070920	01.13.11
070930	01.13.33
070940	01.13.90
070951	01.13.80
070952	01.13.80
070953	01.13.80
070954	01.13.80
070955	01.13.80
070956	01.13.80
070959	01.13.80
070960	01.13.31
070970	01.13.16
070991	01.13.17
070992	01.26.11
070992	01.26.12
070993	01.13.39
070999	01.13.19
070999	01.13.39
071010	10.31.11
071010	10.85.13
071021	10.39.11
071021	10.85.13
071022	10.39.11
071022	10.85.13
071029	10.39.11
071029	10.85.13
071030	10.39.11
071030	10.85.13
071040	10.39.11
071040	10.85.13
071080	10.39.11
071080	10.85.13
071090	10.39.11
071090	10.85.13
071120	10.39.12
071140	10.39.12
071151	10.39.12
071159	10.39.12
071190	10.39.12
071220	10.39.13
071220	10.39.14
071220	10.85.13
071231	10.39.13
071231	10.85.13
071232	10.39.13
071232	10.85.13
071233	10.39.13
071233	10.85.13
071234	10.39.13
071234	10.85.13
071239	10.39.13
071239	10.85.13
071290	10.31.12
071290	10.32.26
071290	10.39.13
071290	10.39.14
071290	10.85.13
071310	01.11.75
071320	01.11.73
071331	01.11.71
071332	01.11.71
071333	01.11.71
071334	01.11.71
071335	01.11.71
071339	01.11.71
071340	01.11.74
071350	01.11.72
071360	01.11.79
071390	01.11.79
071410	01.13.53
071410	10.85.13
071420	01.13.52
071420	01.13.53
071420	10.85.13
071430	01.13.59
071430	10.85.13
071440	01.13.59
071440	10.85.13
071450	01.13.59
071450	10.85.13
071490	01.13.59
071490	10.85.13
080111	01.26.20
080112	01.26.20
080119	01.26.20
080121	01.25.39
080122	01.25.39
080131	01.25.39
080132	01.25.39
080211	01.25.31
080212	01.25.31
080221	01.25.33
080222	01.25.33
080231	01.25.35
080232	01.25.35
080241	01.25.32
080242	01.25.32
080251	01.25.34
080252	01.25.34
080261	01.25.39
080262	01.25.39
080270	01.25.39
080280	01.25.39
080291	01.25.39
080292	01.25.39
080299	01.25.39
080310	01.22.12
080310	10.39.25
080390	01.22.12
080390	10.39.25
080410	01.22.13
080420	01.22.14
080420	10.39.25
080430	01.22.19
080440	01.22.11
080450	01.22.19
080510	01.23.13
080521	01.23.14
080522	01.23.14
080529	01.23.14
080540	01.23.11
080550	01.23.12
080590	01.23.19
080590	10.32.25
080610	01.21.11
080610	01.21.12
080620	10.39.25
080711	01.13.21
080719	01.13.29
080720	01.22.19
080810	01.24.10
080830	01.24.21
080840	01.24.22
080910	01.24.23
080921	01.24.24
080929	01.24.24
080930	01.24.25
080930	01.24.26
080940	01.24.27
080940	01.24.28
081010	01.25.13
081020	01.25.12
081030	01.25.19
081040	01.25.19
081050	01.25.11
081060	01.22.19
081070	01.25.90
081090	01.24.29
081090	01.25.90
081110	10.39.21
081120	10.39.21
081190	10.32.26
081190	10.39.21
081210	10.39.24
081290	10.39.24
081310	10.39.25
081320	10.39.25
081330	10.39.25
081340	10.39.25
081350	10.39.25
081400	10.39.24
090111	01.27.11
090112	10.83.11
090121	10.83.11
090122	10.83.11
090190	10.83.12
090210	10.83.13
090220	01.27.12
090220	10.83.13
090230	10.83.13
090240	01.27.12
090240	10.83.13
090300	01.27.13
090411	01.28.11
090412	10.84.21
090421	01.28.12
090422	10.84.22
090510	01.28.18
090520	10.84.23
090611	01.28.15
090619	01.28.15
090620	10.84.23
090710	01.28.16
090720	10.84.23
090811	01.28.13
090812	10.84.23
090821	01.28.13
090822	10.84.23
090831	01.28.13
090832	10.84.23
090921	01.28.14
090922	10.84.23
090931	01.28.14
090932	10.84.23
090961	01.28.14
090962	10.84.23
091011	01.28.17
091012	10.84.23
091020	01.28.19
091020	10.84.23
091030	01.28.19
091091	01.28.19
091091	10.84.23
091099	01.28.19
091099	10.84.23
100111	01.11.11
100119	01.11.11
100191	01.11.12
100199	01.11.12
100210	01.11.32
100290	01.11.32
100310	01.11.31
100390	01.11.31
100410	01.11.33
100490	01.11.33
100510	01.11.20
100590	01.11.20
100610	01.12.10
100620	10.61.11
100630	10.61.12
100640	10.61.12
100710	01.11.41
100790	01.11.41
100810	01.11.49
100821	01.11.42
100829	01.11.42
100830	01.11.49
100840	01.11.49
100850	01.11.49
100860	01.11.49
100890	01.11.49
110100	10.61.21
110220	10.61.22
110290	10.61.22
110311	10.61.31
110313	10.61.32
110319	10.61.32
110320	10.61.32
110412	10.61.33
110419	10.61.33
110422	10.61.33
110423	10.61.33
110429	10.61.33
110430	10.61.33
110510	10.31.13
110520	10.31.13
110610	10.61.23
110620	10.61.23
110630	10.61.23
110710	11.06.10
110720	11.06.10
110811	10.62.11
110812	10.62.11
110813	10.62.11
110814	10.62.11
110819	10.62.11
110820	10.62.11
110900	10.62.11
120110	01.11.81
120190	01.11.81
120230	01.11.82
120241	01.11.82
120242	01.11.83
120300	01.26.90
120400	01.11.91
120510	01.11.93
120590	01.11.93
120600	01.11.95
120710	01.11.99
120721	01.16.11
120729	01.16.11
120730	01.11.99
120740	01.11.94
120750	01.11.92
120760	01.11.99
120770	01.11.99
120791	01.11.99
120799	01.11.99
120810	10.41.42
120890	10.41.42
120910	01.13.72
120921	01.19.31
120922	01.19.31
120923	01.19.31
120924	01.19.31
120925	01.19.31
120929	01.19.31
120930	01.19.22
120991	01.13.60
120999	01.25.20
120999	02.10.12
121010	01.28.20
121020	01.28.20
121120	01.28.30
121130	01.28.30
121140	01.28.30
121150	01.28.30
121160	01.28.30
121190	01.28.30
121221	03.11.63
121221	03.21.43
121229	03.11.63
121229	03.12.30
121229	03.21.43
121229	03.22.30
121291	01.13.71
121292	01.25.90
121293	01.14.10
121294	01.19.39
121299	01.19.39
121299	01.25.20
121299	01.25.90
121300	01.11.50
121410	10.91.20
121490	01.19.10
130120	02.30.12
130190	02.30.12
130211	10.89.15
130212	10.89.15
130213	10.89.15
130214	10.89.15
130219	10.89.15
130220	10.89.15
130231	10.89.15
130232	10.89.15
130239	10.89.15
140110	01.29.30
140120	01.29.30
140190	01.29.30
140420	10.41.30
140490	01.29.30
150110	10.11.50
150120	10.11.50
150190	10.12.30
150210	10.11.50
150290	10.11.50
150300	10.41.11
150410	10.41.12
150420	10.41.12
150430	10.41.12
150500	13.10.10
150600	10.41.19
150710	10.41.21
150790	10.41.51
150810	10.41.22
150890	10.41.52
150920	10.41.23
150930	10.41.23
150940	10.41.23
150990	10.41.53
151010	10.41.23
151090	10.41.53
151110	10.41.27
151190	10.41.57
151211	10.41.24
151211	10.41.29
151219	10.41.54
151221	10.41.25
151229	10.41.55
151311	10.41.28
151319	10.41.58
151321	10.41.29
151329	10.41.59
151411	10.41.26
151419	10.41.56
151491	10.41.26
151499	10.41.56
151511	10.41.29
151519	10.41.59
151521	10.62.14
151529	10.62.14
151530	10.41.59
151550	10.41.29
151550	10.41.59
151560	10.41.29
151560	10.41.59
151590	10.41.29
151590	10.41.59
151610	10.41.60
151620	10.41.60
151630	10.41.60
151710	10.42.10
151790	10.42.10
151800	20.59.20
152000	20.41.10
152110	10.41.71
152190	01.49.26
152200	10.41.72
160100	10.13.14
160210	10.85.11
160210	10.86.10
160220	10.13.15
160220	10.85.11
160231	10.13.15
160231	10.85.11
160232	10.13.15
160232	10.85.11
160239	10.13.15
160239	10.85.11
160241	10.13.15
160241	10.85.11
160242	10.13.15
160242	10.85.11
160249	10.13.15
160249	10.85.11
160250	10.13.15
160250	10.85.11
160290	10.13.15
160290	10.85.11
160300	10.89.14
160411	10.20.25
160411	10.85.12
160412	10.20.25
160412	10.85.12
160413	10.20.25
160413	10.85.12
160414	10.20.25
160414	10.85.12
160415	10.20.25
160415	10.85.12
160416	10.20.25
160416	10.85.12
160417	10.20.25
160417	10.85.12
160418	10.20.25
160418	10.85.12
160419	10.20.25
160419	10.85.12
160420	10.20.25
160420	10.85.12
160431	10.20.26
160431	10.85.12
160432	10.20.26
160432	10.85.12
160510	10.20.34
160510	10.85.12
160521	10.20.34
160521	10.85.12
160529	10.20.34
160529	10.85.12
160530	10.20.34
160530	10.85.12
160540	10.20.34
160540	10.85.12
160551	10.20.34
160551	10.85.12
160552	10.20.34
160552	10.85.12
160553	10.20.34
160553	10.85.12
160554	10.20.34
160554	10.85.12
160555	10.20.34
160555	10.85.12
160556	10.20.34
160556	10.85.12
160557	10.20.34
160557	10.85.12
160558	10.20.34
160558	10.85.12
160559	10.20.34
160559	10.85.12
160561	10.20.34
160561	10.85.12
160562	10.20.34
160562	10.85.12
160563	10.20.34
160563	10.85.12
160569	10.20.34
160569	10.85.12
170112	10.81.11
170113	10.81.11
170114	10.81.11
170191	10.81.13
170199	10.81.12
170199	10.81.19
170211	10.51.54
170219	10.51.54
170220	10.81.13
170230	10.62.13
170240	10.62.13
170250	10.62.13
170260	10.62.13
170290	10.62.13
170290	10.89.19
170310	10.81.14
170390	10.81.14
170410	10.82.23
170490	10.82.23
180100	01.27.14
180200	10.82.30
180310	10.82.11
180320	10.82.11
180400	10.82.12
180500	10.82.13
180610	10.82.14
180620	10.82.21
180631	10.82.22
